"feature_name","category","business_purpose","technical_summary","personas","ui_triggers","source_files","api_endpoints","db_entities","validation_rules","status_dependency","known_gaps","test_cases_needed","confidence"
"Authentication & Session","Platform","Secure access and role identity for all workflows","JWT auth with cookie/header support; Next middleware gate","All","Login page submit","frontend/app/auth/signin/page.tsx; frontend/middleware.ts; backend/src/routes/authRoutes.js; backend/src/middlewares/authMiddleware.js","POST /api/auth/login, /api/auth/*","users, tenants","JWT validity, email/password, user status ACTIVE","None","Tenant context errors for platform users if guards inconsistent","Auth happy path, invalid token, disabled user, tenant missing","Confirmed from code"
"Role-based Sidebar Navigation","Platform","Expose only relevant modules by role and entitlement","SidebarMenuSections + runtime filtering in SidebarNav","All authenticated roles","App load / role switch","frontend/constant/app-config.ts; frontend/components/layout/Drawer/SidebarNav.tsx","GET /api/v2/modules/active","tenant_module_configs","Role list + entitlement flags","Module entitlement state","WORK item defined but hard-hidden","Role visibility matrix, entitlement toggles, supplier sub-user restrictions","Confirmed from code"
"Buyer Audit Request Creation","Business","Initiate audit lifecycle for supplier/site/product","Buyer request form posts audit request and seeds phase artifacts","Buyer,Admin","Request Audit page submit","frontend/app/(console)/request-audit/page.tsx; backend/src/routes/buyerRoutes.js","POST /api/buyer/audit-request","audit-requests-master, audit-artifacts","Required supplier/site/product/compliance date","Initial phase INITIATED","Duplicate prevention by site/product in active audits needs runtime validation","Create, duplicate attempt, missing required fields","Confirmed from code"
"Audit Summary Listing","Business","Track all audits and navigate into execution","Role-specific audit fetch APIs and list pages","Buyer,Supplier,SupplierUser,Auditor,Admin,Tenant Admin,Superadmin","Audit Summary menu click","frontend/app/(console)/audits/page.tsx; backend/src/routes/auditRequestRoutes.js","GET /api/audit-requests/buyer, /supplier, /auditor","audit-requests-master","Tenant scoping + role-based filters","high_status, phaseState, questionnaireStatus","Dual status engines may drift","Role list scoping, filters, pagination, archived records","Confirmed from code"
"Phase/Milestone Tracking","Business","Visible progress control across audit lifecycle","Phase state in audit request + workflow milestone instance model + tracking APIs","Buyer,Supplier,Auditor,Admin","Audit detail Tracking tab","frontend/app/(console)/audits/[id]/milestones/page.tsx; backend/src/routes/trackingRoutes.js; backend/src/services/workflowMilestoneService.js","GET/PUT /api/audits/:id/tracking* and /api/workflow-milestones/*","workflow_milestone_instances, status_tracker, phase_tracker, audit-requests-master","Allowed transitions per phase/milestone definition","PHASE_STATUSES + milestone status","Parallel trackers can desync","Transition guards, SLA alerts, tracking label readability","Confirmed from code"
"Execution Questionnaire Rendering","Business","Capture supplier responses and auditor review comments","Dynamic question rendering from template questions into auditQuestions records","Supplier,SupplierUser,Auditor","Audit > report?mode=questionnaire","frontend/components/audits/questionnaire.tsx; frontend/components/audits/SmartQuestion.tsx; backend/src/models/auditQuestionsModels.js","GET /api/auditor/audit-questionsId, PUT /api/auditor/audit-question/update-data/:auditRequestId","auditQuestions","Answer type/schema checks + assignment checks","responseStatus + questionnaireStatus","Radio/checkbox UI sync must be render-verified","All control types, save/reopen, section assignment restriction","Confirmed from code"
"Questionnaire Auto-fill from Evidence","Business","Reduce supplier manual effort using attachments and DigiLocker evidence","Auto-fill controller extracts/matches evidence and writes responses + autoFillMeta","Supplier,SupplierUser,Auditor (preview/testing)","Scan docs & fill questionnaire","frontend/app/(console)/audits/[id]/report/page.tsx; backend/src/controllers/autoFillController.js","POST /api/auditor/auto-fill/:auditRequestId, POST /api/auditor/audits/:id/rag/run","auditQuestions, digilocker documents","Question mapping + evidence confidence rules","questionnaireStatus in_progress","Endpoint path mismatch risks if frontend calls legacy proxy route","No docs, partial docs, mixed controls, evidence references shown","Confirmed from code"
"First Compliance Check (ICH Q7/CFR)","Business","Provide auditor preliminary compliance verdict from questionnaire/evidence","Compliance run engine with standards and question results","Auditor","Run First Compliance Check button","frontend/app/(console)/audits/[id]/report/page.tsx; backend/src/routes/complianceRunRoutes.js","POST /api/auditor/compliance/runs, GET /api/auditor/compliance/runs/:runId","compliance_runs, compliance_question_results, compliance_standard_registry","Tenant + audit access, standard availability","Run lifecycle QUEUED/RUNNING/COMPLETED/FAILED","404 wiring observed historically in envs with stale UI path","Run create, poll status, failure fallback, no-standard case","Confirmed from code"
"Report Draft Generation (WHO-GMP style)","Business","Generate structured audit report with observations and evidence","Report controller composes narrative sections and observation table","Auditor","Summarize and Generate Report button","frontend/app/(console)/audits/[id]/report/page.tsx; backend/src/controllers/reportController.js","POST /api/auditor/audits/:auditId/report/draft, GET /api/auditor/audits/:auditId/report","audit-reports, auditQuestions, audit-requests-master","Audit/questionnaire context required","Findings/CAPA/closure readiness","Output quality dependent on evidence richness and comment quality","Draft generate, regenerate, empty inputs, signoff lock behavior","Confirmed from code"
"Audit Artifact Management","Business","Manage lifecycle of intimation letter, scope, DRL, findings, CAPA, report artifacts","Artifact defaults by phase and status transitions","Buyer,Supplier,Auditor","Audit > Artifacts tab","frontend/app/(console)/audits/[id]/artifacts/page.tsx; backend/src/constants/auditPhases.js; backend/src/controllers/auditPhaseController.js","GET/POST/PUT artifact endpoints under /api/audits/:id/* and /api/audit-phase*","audit-artifacts, audit-artifact-versions","Artifact type + phase ownership checks","artifact status draft/sent/in_progress/complete","Sign-lock behavior requires end-to-end validation","Status transition, locking, immutable signed fields","Strong inference from code"
"DigiLocker Document Vault","Business","Central evidence storage with redaction/share/audit logs","DigiLocker service and models for docs, versions, policies, evidence maps","Supplier,SupplierUser,Buyer,Auditor,Admin","DigiLocker menu + attach popups","frontend/app/(console)/digilocker/page.tsx; backend/src/routes/digilockerRoutes.js","POST /api/digilocker/upload, GET /api/digilocker/documents, POST /api/digilocker/questions/:questionId/attach","digilocker_documents, digilocker_document_versions, digilocker_question_evidence_maps, digilocker_audit_trail_events","File type/size, tenant ownership, policy checks","redaction/access policy states","Cross-user supplier visibility may vary by endpoint implementation","Multi-file upload, attach by question/tab, versioning, audit log","Confirmed from code"
"Supplier Profile Auto-import from Documents","Business","Accelerate onboarding/profile creation by extracting details from uploaded docs","Profile import controller extracts normalized entities and prefill payload","Supplier,Auditor (supported roles in current route)","Signup/onboarding import from document","frontend/components/onboard/primaryInfo.tsx; backend/src/controllers/profileImportController.js","POST /api/profile/import","supplier-profiles, users, digilocker documents (if persisted)","Role allowed + document parse success","Onboarding completion status","Extraction quality varies by source document quality","SMF/report/483 generic docs, OCR heavy docs, low-confidence followup prompts","Confirmed from code"
"Onboarding Wizard (Profile/Sites/Products/Users)","Business","Collect mandatory tenant setup details before operational usage","Multi-tab onboarding UI + backend create/update endpoints","Supplier,Buyer,Auditor (role dependent)","Onboard route, supplier incomplete banner","frontend/app/onboard/page.tsx; frontend/components/onboard/*.tsx; backend/src/routes/vendorRegistrationRoutes.js","POST/PUT /api/onboarding/*, /api/profile/*, /api/supplier-sites/*, /api/supplier-products/*","supplier-profiles, supplier-sites, supplier-master-products, users","Required profile fields, site/product constraints","isProfileCompleted flag","User addition path requires runtime validation","Tab-by-tab save, resume, mandatory blockers, role-specific variants","Confirmed from code"
"API Library Claim + Plant Mapping","Business","Let suppliers claim APIs and map to manufacturing sites/plants","API master search/list + supplier product claim + product-site mapping upsert","Supplier,SupplierUser,Admin","API Library page and claim popup","frontend/app/(console)/library/apis/page.tsx; backend/src/routes/apiMasterRoutes.js; backend/src/routes/productSiteMappingRoutes.js","GET /api/api-master/list/search, POST /api/supplier-products/*, POST /api/product-site-mappings/upsert","api-master, supplier-master-products, product-site-mappings","CAS optional/required logic depends on UI flow","Claim status and mapping completeness","CAS missing UX needs robust in-flow capture and update","Claim with/without CAS, multi-plant mapping, edit CAS later","Confirmed from code"
"RFQ Lifecycle","Business","Source auditors and pricing before audit assignment","RFQ, quote, thread, compare, award flows","Buyer,Auditor,Admin","RFQ pages and compare view","frontend/app/(console)/rfqs/*; backend/src/routes/rfqRoutes.js","REST /api/rfqs/*","audit-rfqs, audit-rfq-quotes, audit-rfq-threads","Role ownership and state checks for quote actions","RFQ status progression","Needs UAT for award-to-audit linkage reliability","Create RFQ, invite, submit quote, compare, award, cancel","Confirmed from code"
"CAPA Management","Business","Track corrective/preventive actions from findings","CAPA model/routes integrated with audit context","Supplier,Auditor,Buyer","CAPA tab/pages","frontend/app/(console)/auditor/capas/page.tsx; backend/src/routes/capaRoutes.js","REST /api/capas/*","capas, assessment_capa","Ownership and due-date validations","CAPA status and audit phase","Cross-linking to findings/observations requires runtime validation","Create/update/close CAPA, overdue, evidence attach","Strong inference from code"
"Audit Trail Logging","Business","Provide CFR-part-11 style traceability","Audit trail routes/models and admin logs capture actions","Auditor,Buyer,Admin,Tenant Admin","Audit Log tab/buttons","frontend/app/(console)/audits/[id]/audit-log/page.tsx; backend/src/routes/auditTrailRoutes.js","GET /api/audits/:id/audit-trail*","audit-trails, admin_audit_logs, digilocker_audit_trail_events","Tenant and entity access checks","Action-driven entries","Coverage differs across modules","Per-click logs, timestamp/user/action integrity, export","Confirmed from code"
"Notification Engine","Platform","Deliver status/phase/comment alerts in-app and channels","Legacy notification routes plus modular notification stack with schedulers","All","Bell icon, toast updates, preference changes","frontend/components/layout/Header/*; backend/src/modules/notifications/*; backend/src/routes/notificationRoutes.js","GET /api/notifications*, PUT /api/notifications/preferences","notification, notification_events, outbox, policies, preferences","Preference + recipient + tenant checks","Workflow events and scheduler runs","Dual stacks can cause inconsistent behavior","Unread count, click-through navigation, preference suppression, retries","Confirmed from code"
"AskHawk In-App Assistant","Platform","Role-aware contextual help and KB Q&A with citations","AskHawk routes + KB chunk retrieval + conversation storage","All tenant users; admin for KB ops","Ask Hawk launcher in sidebar","frontend/components/audits/askHawk.tsx; backend/src/routes/askHawkRoutes.js","POST /api/askhawk/chat, /api/askhawk/admin/*","kb_articles, kb_chunks, hawk_conversations, hawk_unanswered","tenant scope and askhawk authorization","ASKHAWK feature flag and tenant context","Platform admin tenantless handling must be consistently allowed","Tenant-safe retrieval, citations, unanswered capture, sync KB","Confirmed from code"
"RAG Vector Setup (Compliance Guidelines)","Platform","Pre-index standards (e.g., ICH Q7) once and reuse across audits","Compliance guideline document/vector models and ingestion APIs","Admin,Superadmin","RAG Vector Setup menu","frontend/app/(console)/admin/rag-vectors/page.tsx; backend/src/routes/complianceStandardsRoutes.js","POST/GET /api/compliance/standards/*","compliance_guideline_documents, compliance_guideline_vectors, compliance_standard_registry","Admin role + tenant context","Vector document active/version state","Large-doc ingestion performance and dedupe need tuning","Upload guideline, re-index, activate version, run compliance uses latest","Confirmed from code"
"System Settings / LLM Prompt Preview","Platform","Configure runtime system settings and AI prompts","System settings API routes proxied via next API","Admin,Tenant Admin,Superadmin","Settings pages","frontend/app/api/next/system-settings/*; backend/src/routes/systemSettingsRoutes.js","GET/PUT /api/system-settings/*","system-settings","Admin access","Feature behavior changes post-save","Needs config diff/audit visibility","Save/reload settings, prompt preview generation","Confirmed from code"
"Template Management","Business","Manage questionnaire/report templates used by audits","Template CRUD and template-question management","Auditor,Admin","Template Management menu","frontend/app/(console)/template-management/*; backend/src/routes/templateRoutes.js; questionaireRoutes.js","REST /api/templates/*, /api/template-questions/*","template, templateQuestions, categories","Schema validation and template type controls","Template publish/version states","Legacy template IDs (number vs object id) require regression checks","Create/edit/publish/archive template and preview","Confirmed from code"
"Questionnaire Upload/Parsing","Business","Import questionnaire docs into structured template questions","Upload endpoint and background job status","Admin,Auditor","Settings > questionnaire upload","frontend/app/(console)/settings/questionnaire-upload/page.tsx; backend/src/routes/questionnaireUploadRoutes.js","POST /api/questionnaires/upload, GET /api/questionnaires/jobs/:id","questionnaire-uploads, templateQuestions","File type/size and parser validation","Job status pending/running/completed/failed","Parser quality and error visibility","Upload docx/pdf, monitor job, validate generated questions","Confirmed from code"
"Evidence Checklist","Business","Checklist-driven evidence completeness tracking per audit","Evidence checklist model + UI tab","Supplier,Auditor","Audit > Evidence Checklist","frontend/app/(console)/audits/[id]/evidence-checklist/page.tsx; backend/src/models/digilockerAuditEvidenceChecklistModel.js","GET/PUT checklist endpoints under /api/digilocker/audits/*","digilocker_audit_evidence_checklists","Audit and role access","Checklist item statuses","Checklist-to-phase gating needs runtime confirmation","Mark complete/incomplete, attach evidence, auditor view","Strong inference from code"
"Supplier Attachments Consolidation","Business","Allow auditor/admin to view all supplier-user submissions for an audit","Auditor attachment endpoints aggregate by audit/supplier context","Auditor,Admin,Buyer","Audit questionnaire attachments tab","frontend/components/audits/questionnaire.tsx; backend/src/routes/auditorRoutes.js","GET /api/auditor/audits/:auditId/supplier-attachments","auditQuestions.auditorAttachments, digilocker maps","Tenant + audit access checks","Questionnaire stage","Historically observed 404 wiring in some deployments","Attachment list across multiple supplier users, download rights","Strong inference from code"
"Audit Scheduling & Calendar","Business","Plan audit dates and availability","Audit schedule models/routes + user calendar","Buyer,Auditor,Supplier","Scheduling pages and calendar menu","frontend/app/(console)/audits/[id]/scheduling/page.tsx; backend/src/routes/auditScheduleRoutes.js; userCalendarRoutes.js","REST /api/audit-schedules* and /api/calendar*","audit-schedules, schedule-slots, schedule-event-logs","Date range and role permissions","Planning/execution phase","Time-zone and concurrency overlap checks","Create/modify slots, conflict detection, cross-role visibility","Strong inference from code"
"Integration Connections","Platform","Connect external systems and sync data","Integration providers/connections/mapping configs and scheduler","Admin,Tenant Admin,Superadmin","Integrations menu","frontend/app/(console)/integrations/*; backend/src/routes/integrationRoutes.js","REST /api/integrations/*","integration_providers, integration_connections, integration_run_logs","Connection credential validation","Connection active/inactive","Error handling and retries need dedicated observability","Create/test/run integration, failure retries","Confirmed from code"
"Platform Admin Console","Platform","Manage tenants, subscriptions, platform users and logs","Dedicated /platform routes and layout","Superadmin/platform admin","Platform routes","frontend/app/platform/*; backend/src/routes/platformRoutes.js","REST /api/platform/*","tenants, subscriptions, users, admin_audit_logs","adminScope PLATFORM","Tenant status ACTIVE/SUSPENDED","Some tenant-guarded APIs may block platform context","Tenant CRUD, user role assignment, audit log filtering","Confirmed from code"
"Tenant Admin Console","Platform","Tenant-level company/users/security governance","Admin routes under /admin and workflow milestone config","Tenant Admin,Admin,Superadmin","Admin menu pages","frontend/app/admin/* and app/(console)/admin/*; backend/src/routes/adminTenantRoutes.js","GET/PUT /api/admin/company, /api/admin/users, /api/workflow-milestones/*","users, tenant, workflow milestone definitions, SLA config","Tenant admin role and scope","Tenant config state","Role naming differences (tenant_admin vs admin) need regression","Company update, user admin operations, milestone config changes","Confirmed from code"
"FDA Dashboard Data Refresh","Business","Track FDA citations/inspections/forms for risk inputs","FDA routes and snapshot models with refresh endpoints","Supplier,Buyer,Auditor,Admin","FDA dashboard page and refresh actions","frontend/app/(console)/fda-dashboard/page.tsx; backend/src/routes/fdaRoutes.js","GET /api/fda/dashboard, POST /api/fda/update","fda_dashboard_snapshots, fda_inspections, fda_citations, fda_483","Tenant and supplier filter constraints","Data timestamp freshness","Supplier-only visibility enforcement must be validated","Role filtering, default supplier restriction, refresh success/failure","Confirmed from code"
"Insights Dashboard","Business","Operational KPI and work queue visibility","Role-specific dashboard APIs with drilldown","All operational roles","Insights menu","frontend/app/(console)/insights/page.tsx; backend/src/routes/dashboardRoutes.js","GET /api/dashboard/:role + drilldowns","aggregated from audits/questions/notifications","Role + tenant filters","Live statuses from audits/workflows","Data latency and role-specific filter defaults need UAT","Widget data accuracy and drill-down navigation","Confirmed from code"
"Table Variant (Saved Views)","Platform","Persist user table preferences","Table variant routes/model for filters/sorts/columns","All","Any table with saved view support","backend/src/routes/tableVariantRoutes.js; frontend table components","REST /api/table-variants/*","table_variants","User ownership + tenant scoping","None","UI coverage may be partial by module","Create/load/delete saved view per page","Confirmed from code"
"Task Coach Onboarding Assistant","Platform","Guide user completion for onboarding tasks","Sidebar inline RoleOnboardingCoach component","Supplier and other onboarding personas","Sidebar bottom task coach badge","frontend/components/onboarding/RoleOnboardingCoach.tsx; SidebarNav.tsx","Onboarding state APIs","onboarding_wizard_states","Role and profile completion state","Onboarding completion","Visibility consistency across roles needs validation","Coach display, progress updates, navigation actions","Strong inference from code"
"Document Disclosure/Share Policy","Business","Control file access with policy and auditability","Document disclosure routes and share policy models","Supplier,Buyer,Auditor,Admin","Share policy action in attachments","backend/src/routes/documentDisclosureRoutes.js; frontend attachment cards","POST /api/documentViews/:id/sharePolicies, GET /api/documentViews/:id/auditLog","share_policies, access_grants, access_events","Policy schema and actor access","Policy active/expired","Common policy-for-all-files UX may be incomplete","Apply per-file and bulk policy, verify downstream access","Confirmed from code"
