"display_label","internal_route","parent_menu","sub_menu_path","persona_visibility","feature_purpose","frontend_source","backend_dependencies","entry_conditions","exit_actions","exposed","dependency_flags"
"INSIGHTS","/insights","DISCOVERY","DISCOVERY > INSIGHTS","buyer,auditor,tenant_admin,superadmin,admin,supplier,supplierUser","Role-based operational insights dashboard","constant/app-config.ts","/api/next/dashboard/*,/api/next/risk/*","Authenticated + role allowed","Drilldowns to audits/risk pages","UI","Module entitlement can hide related menus"
"SUPPLIER_RISK","/buyer/suppliers","DISCOVERY","DISCOVERY > SUPPLIER_RISK","buyer,tenant_admin,superadmin,admin","Buyer risk tracking for suppliers","constant/app-config.ts","/api/buyer/*,/api/buyer/risk*","Buyer/admin role","Open supplier profile/risk details","UI","Audit module entitlement"
"MY_RISK","/supplier/risk","DISCOVERY","DISCOVERY > MY_RISK","supplier,supplierUser","Supplier self-risk visibility","constant/app-config.ts","/api/supplier/risk*","Supplier role","Navigate to mitigation or details","UI","Audit/risk data availability"
"SUPPLIER_MARKETPLACE","/supplier-marketplace","DISCOVERY","DISCOVERY > SUPPLIER_MARKETPLACE","admin,buyer","Browse suppliers for procurement/audits","constant/app-config.ts","/api/buyer/suppliers*","Buyer/admin role","Create request audit path","UI","None"
"PRODUCT_CATALOG","/products","DISCOVERY","DISCOVERY > PRODUCT_CATALOG","admin,supplier,buyer,supplierUser","Manage product/API catalog","constant/app-config.ts","/api/supplier-products/*,/api/api-master/*","Role + tenant","Product detail/edit","UI","None"
"AUDITOR_NETWORK","/auditor-network","DISCOVERY","DISCOVERY > AUDITOR_NETWORK","admin,buyer","Invite/assign auditor network","constant/app-config.ts","/api/auditor-network*","Buyer/admin","RFQ or assignment","UI","Audit module"
"FDA_DASHBOARD","/fda-dashboard","DISCOVERY","DISCOVERY > FDA_DASHBOARD","admin,supplier,buyer,auditor,supplierUser,superadmin","FDA inspection intelligence","constant/app-config.ts","/api/fda/*","Role allowed","Open citations/forms","UI","Tenant scoping in backend"
"REQUEST_AUDITS","/request-audit","PROCUREMENT","PROCUREMENT > REQUEST_AUDITS","admin,buyer","Create audit requests","constant/app-config.ts","/api/buyer/audit-request","Buyer/admin","Audit created, lands in audit summary","UI","Audit module entitlement"
"RFQS","/rfqs","PROCUREMENT","PROCUREMENT > RFQS","buyer,admin,tenant_admin,superadmin,auditor","RFQ workflow","constant/app-config.ts","/api/rfqs/*","Role allowed","Award quote->audit assignment","UI","Audit module"
"WORKSPACE","/workspace","OPERATIONS","OPERATIONS > WORKSPACE","admin,supplier,buyer,auditor,supplierUser","Cross-module work area","constant/app-config.ts","/api/dashboard/*,/api/notifications/*","Authenticated role","Notifications/preferences","UI","Work menu hidden intentionally in SidebarNav"
"AUDIT_SUMMARY","/audits","OPERATIONS","OPERATIONS > AUDIT_SUMMARY","admin,supplier,buyer,auditor,supplierUser,tenant_admin,superadmin","Core audit lifecycle board/list","constant/app-config.ts","/api/audit-requests/*,/api/tracking*","Role + tenant access","Open audit detail/report/questionnaire","UI","Audit module entitlement + superadmin fallback injection"
"CALENDAR","/calendar","OPERATIONS","OPERATIONS > CALENDAR","auditor,supplier,supplierUser","Audit scheduling calendar","constant/app-config.ts","/api/calendar/*","Supported role","Schedule update flows","UI","None"
"TEMPLATE_MANAGEMENT","/template-management","OPERATIONS","OPERATIONS > TEMPLATE_MANAGEMENT","auditor,admin","Template configuration","constant/app-config.ts","/api/templates/*,/api/template-questions/*","Auditor/admin","Template publish/use","UI","Audit module"
"TEST_ARTIFACTS","/test-artifacts","OPERATIONS","OPERATIONS > TEST_ARTIFACTS","auditor","Execution questionnaire preview with evidence mapping","constant/app-config.ts","/api/auditor/auto-fill-preview,/api/auditor/report-preview","Auditor role","Run preview/autofill","UI","Audit module"
"DIGILOCKER","/digilocker or /qms/vault","ASSETS","ASSETS > DIGILOCKER","supplier,supplierUser,buyer,auditor,admin,tenant_admin,superadmin","Document vault, sharing, redaction","constant/app-config.ts + components/layout/Drawer/SidebarNav.tsx","/api/digilocker/*,/api/documents*","Vault entitlement + role","Attach docs to questionnaire/audit","UI","VaultLite/VaultFull module entitlements switch route"
"SITES","/sites","ASSETS","ASSETS > SITES","admin,supplier","Supplier manufacturing site master data","constant/app-config.ts","/api/supplier-sites/*","Supplier/admin","Map products/sites","UI","None"
"API_LIBRARY","/library/apis","ASSETS","ASSETS > API_LIBRARY","admin,supplier,supplierUser,buyer,auditor,tenant_admin,superadmin","API master reference and claims","constant/app-config.ts","/api/api-master/*,/api/supplier-products/*","Role allowed","Claim API and map to plants","UI","None"
"MASS_UPLOAD","/mass-upload","ASSETS","ASSETS > MASS_UPLOAD","admin,supplier","Bulk uploads for master data","constant/app-config.ts","/api/mass-upload* or upload handlers","Supplier/admin","Bulk import completion","UI","None"
"INTEGRATION","/integrations","ASSETS","ASSETS > INTEGRATION","admin,supplier,buyer,auditor,tenant_admin,superadmin","External integration connections","constant/app-config.ts","/api/integrations/*","Role + integration permission","Connection detail/run","UI","None"
"USERS","/users","ADMIN","ADMIN > USERS","supplier (excluding supplier sub-users)","Supplier user management","constant/app-config.ts + SidebarNav.tsx","/api/profile/supplier/users,/api/profile/supplier-user/*","Supplier admin not invited sub-user","Add/edit users","UI","Hidden for supplierUser and invited supplier accounts"
"NOTIFICATION_PREFERENCES","/workspace/notification-preferences","ADMIN","ADMIN > NOTIFICATION_PREFERENCES","all major roles","Notification channel preferences","constant/app-config.ts","/api/notification-preferences*","Authenticated","Saved preference updates notification behavior","UI","None"
"RAG_VECTORS","/admin/rag-vectors","ADMIN","ADMIN > RAG_VECTORS","admin,superadmin","Compliance guideline vector ingestion","constant/app-config.ts","/api/compliance/standards/*","Admin/superadmin","Vector refresh impacts compliance checks","UI","Audit module gate in SidebarNav"
"ASKHAWK_ADMIN","/admin/askhawk","ADMIN","ADMIN > ASKHAWK_ADMIN","admin,superadmin,tenant_admin","AskHawk KB sync + unanswered","constant/app-config.ts","/api/askhawk/*","Role + tenant/platform context","KB refreshed, unanswered triage","UI","ASKHAWK feature flag + audit module entitlement gate"
"SETTINGS","/settings","ADMIN","ADMIN > SETTINGS","all major roles","Profile/settings","constant/app-config.ts","/api/profile/*,/api/admin/company","Authenticated","Update profile and settings","UI","None"
