qnum,section,confidence,bestScore,fileName,pageNumber,quote
"1","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","HIGH","8","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"2","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","MED","5","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA corrective preventive action."
"3","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","MED","6","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"4","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","2","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"5","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"6","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","2","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"7","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","2","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA corrective preventive action."
"8","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"9","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"10","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","NONE","0","","",""
"11","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","MED","6","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"12","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","2","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"13","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"14","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"15","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"16","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","2","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"17","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA corrective preventive act"
"18","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"19","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","2","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"20","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","NONE","0","","",""
"21","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","2","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"22","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"23","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"24","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"25","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","NONE","0","","",""
"26","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"27","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","NONE","0","","",""
"28","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"29","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA corrective preventive action."
"30","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","NONE","0","","",""
"31","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"32","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"33","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"34","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","NONE","0","","",""
"35","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","NONE","0","","",""
"36","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","2","coverage-test.pdf","1","�M�� t�v���6x�1�:r��*���d����zɷ��<՘���x W�7����x�|^n�| �"",3<�_Q� endstream endobj 7 0 obj << /Filter /FlateDecode /Type /ObjStm /N 5 /First 26 /Length 361 >> stream x��R]K�0}ϯ��� ��GZ�mmd(��(>tm��H������v�=��ɽ�$9�=(C@'B(�@K"
"37","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"38","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"39","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA corrective preventive action."
"40","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","2","coverage-test.pdf","1","�M�� t�v���6x�1�:r��*���d����zɷ��<՘���x W�7����x�|^n�| �"",3<�_Q� endstream endobj 7 0 obj << /Filter /FlateDecode /Type /ObjStm /N 5 /First 26 /Length 361 >> stream x��R]K�0}ϯ��� ��GZ�mmd(��(>tm��H������v�=��ɽ�$9�=(C@'B(�@K"
"41","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","2","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"42","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","2","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"43","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"44","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"45","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"46","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","NONE","0","","",""
"47","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","3","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"48","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","3","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"49","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","3","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA corrective preventive action."
"50","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","MED","4","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"51","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","NONE","0","","",""
"52","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"53","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","NONE","0","","",""
"54","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","NONE","0","","",""
"55","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","2","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"56","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","2","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"57","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"58","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","2","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"59","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"60","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"61","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"62","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","NONE","0","","",""
"63","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"64","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","2","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"65","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"66","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"67","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"68","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","2","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"69","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","1","��*���d����zɷ��<՘���x W�7����x�|^n�| �"",3<�_Q� endstream endobj 7 0 obj << /Filter /FlateDecode /Type /ObjStm /N 5 /First 26 /Length 361 >> stream x��R]K�0}ϯ��� ��GZ�mmd(��(>tm��H������v�=��ɽ�$9�=(C@'B(�@K � �_�C�5�wM��+r"
"70","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","3","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"71","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","NONE","0","","",""
"72","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","NONE","0","","",""
"73","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"74","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"75","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","NONE","0","","",""
"76","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"77","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"78","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"79","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"80","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","3","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"81","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","2","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"82","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"83","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA corrective preventive action."
"84","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"85","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"86","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA corrective preventive action."
"87","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"88","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","NONE","0","","",""
"89","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","NONE","0","","",""
"90","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","NONE","0","","",""
"91","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","NONE","0","","",""
"92","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","2","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"93","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"94","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","2","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"95","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","NONE","0","","",""
"96","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","2","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"97","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","NONE","0","","",""
"98","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","NONE","0","","",""